 accuracy	 gpsAltitude	 latitude	 longitude	 pressure
4	72630005	37.97095476	-87.57474023	1002852051
4	72647034	37.97095064	-87.57475214	1002794434
4	73305603	37.97094724	-87.57476414	1002767578
4	72629028	37.97094151	-87.57477661	1002800781
4	73214600	37.97093849	-87.57478872	1002795410
4	72860962	37.97093257	-87.5747965	1002804688
5	73410156	37.97092431	-87.57480284	1002794922
5	73279419	37.97091555	-87.57480797	1002804932
5	72986572	37.97090972	-87.57481561	1002829346
5	72698242	37.97090783	-87.57482739	1002815918
5	73091492	37.97090658	-87.57484135	1002813477
5	73640503	37.97090529	-87.57485288	1002795410
6	73378479	37.97090088	-87.57486111	1002801025
6	72328918	37.97089111	-87.57486908	1002885986
6	72780212	37.97088093	-87.57487667	1002864014
6	69759338	37.97087278	-87.57488961	1002872070
5	66895081	37.97086413	-87.57490614	1002851318
6	66033508	37.97085322	-87.57492184	1002828613
5	64537292	37.97084417	-87.57493917	1002822754
5	65919434	37.97083959	-87.57495127	1002830811
5	66842773	37.97083676	-87.57496007	1002848145
5	66307983	37.97083426	-87.57496675	1002834961
5	65951660	37.97082572	-87.57497606	1002848145
5	65989075	37.97081541	-87.57498445	1002849854
5	65840698	37.97080692	-87.5749883	1002866943
6	66711121	37.97079767	-87.5749908	1002791016
5	67993103	37.97078117	-87.57499019	1002713867
5	69238831	37.97077199	-87.57498746	1002802490
6	69435669	37.9707588	-87.57498307	1002891357
6	68067261	37.97074243	-87.57497627	1002896973
6	68474731	37.97072735	-87.57497066	1002807861
6	68459106	37.97071378	-87.57496475	1002812988
6	69951050	37.97070306	-87.57495999	1002809326
6	73401978	37.97069705	-87.57495634	1002807861
6	74067932	37.97068911	-87.57495038	1002841309
6	73539063	37.97067819	-87.57494308	1002841064
6	74510437	37.97066884	-87.57493953	1002841064
6	74512695	37.97065766	-87.57493789	1002781250
6	73764160	37.97064237	-87.57493507	1002782959
6	75094543	37.97062492	-87.57493269	1002801025
6	75335266	37.97060876	-87.57492826	1002878662
6	76153625	37.97059271	-87.57492396	1002831787
6	76680542	37.97057569	-87.57492084	1002818359
5	77206055	37.97056135	-87.57492032	1002777100
5	78421570	37.97054886	-87.57492007	1002790039
5	80684998	37.97053768	-87.57491925	1002807129
4	80096313	37.97052634	-87.57491694	1002816895
4	81120789	37.97051364	-87.57491421	1002788818
4	82311035	37.97050115	-87.57491581	1002808594
4	82112976	37.97048587	-87.57491413	1002756836
4	82134094	37.97047282	-87.57491271	1002718994
5	81723083	37.970463	-87.57490767	1002713867
5	81552795	37.97045158	-87.57490309	1002743408
5	82246277	37.97044238	-87.5749026	1002822266
5	83401184	37.97043424	-87.57490332	1002871094
5	85377625	37.9704262	-87.57490446	1002801758
5	86051392	37.9704173	-87.57490047	1002759521
5	86986145	37.97040677	-87.57489362	1002751953
5	86042419	37.97039371	-87.5748854	1002748535
5	86801880	37.97037771	-87.57488064	1002813232
5	88245361	37.97036341	-87.57487722	1002831543
5	88110901	37.97035091	-87.57487004	1002823975
6	89302063	37.97034443	-87.57485552	1002784424
6	88545837	37.97034175	-87.57484138	1002793701
5	86506958	37.97033548	-87.5748262	1002761719
6	85665222	37.97032997	-87.57480948	1002757813
6	84610596	37.97032799	-87.57479521	1002731201
